Date,Name,Year,Letterboxd URI,Rating
2023-12-26,Sleep Has Her House,2017,https://boxd.it/fljC,3
2024-01-01,Edvard Munch,1974,https://boxd.it/E3y,5
2024-01-06,Neon Genesis Evangelion,1995,https://boxd.it/ptEI,5
2024-01-07,Resident Evil: Infinite Darkness,2021,https://boxd.it/w1Ek,4
2024-01-12,Chainsaw Man,2022,https://boxd.it/J6t8,2
2024-01-15,Dragon Inn,1967,https://boxd.it/3xGa,5
2024-01-18,The Wolf Man,1941,https://boxd.it/1PG4,5
2024-01-19,To Be or Not to Be,1942,https://boxd.it/2aTy,5
2024-01-21,The Suspect,1944,https://boxd.it/1vSk,4
2024-01-22,Brief Encounter,1945,https://boxd.it/29sm,5
2024-01-26,The Best Years of Our Lives,1946,https://boxd.it/29my,3
2024-01-26,The Ghost and Mrs. Muir,1947,https://boxd.it/1ANk,3
2024-01-28,The Third Man,1949,https://boxd.it/294E,3
2024-01-28,The Young and the Damned,1950,https://boxd.it/29AA,5
2024-02-01,Summer Interlude,1951,https://boxd.it/KDC,5
2024-02-01,High Noon,1952,https://boxd.it/2aGa,0.5
2024-02-05,Chameleon Street,1989,https://boxd.it/3v94,5
2024-02-12,Seven Samurai,1954,https://boxd.it/2axi,5
2024-02-12,Lady and the Tramp,1955,https://boxd.it/1Wv8,1
2024-02-13,The Bad Seed,1956,https://boxd.it/XuI,5
2024-02-13,Throne of Blood,1957,https://boxd.it/251w,2
2024-02-13,Sleeping Beauty,1959,https://boxd.it/1V9A,2
2024-02-14,Yojimbo,1961,https://boxd.it/1SRY,3
2024-02-14,Sanjuro,1962,https://boxd.it/1TaQ,4
2024-02-16,High and Low,1963,https://boxd.it/1RSc,4
2024-02-16,The Sound of Music,1965,https://boxd.it/1MLK,1
2024-02-16,Willy Wonka & the Chocolate Factory,1971,https://boxd.it/2aLu,5
2024-02-17,The Conformist,1970,https://boxd.it/20cE,4
2024-02-17,Slaughterhouse-Five,1972,https://boxd.it/1xrU,2
2024-02-17,Close Encounters of the Third Kind,1977,https://boxd.it/29u8,3
2024-02-17,Alien,1979,https://boxd.it/2awY,5
2024-02-18,Escape from New York,1981,https://boxd.it/294k,5
2024-02-18,"Merry Christmas, Mr. Lawrence",1983,https://boxd.it/1SHu,5
2024-02-19,Nineteen Eighty-Four,1984,https://boxd.it/1YZE,5
2024-02-19,Jacob's Ladder,1990,https://boxd.it/270g,4
2024-02-22,Raise the Red Lantern,1991,https://boxd.it/1WlC,3
2024-02-24,The Crying Game,1992,https://boxd.it/1TYc,1
2024-02-24,Donnie Brasco,1997,https://boxd.it/1YRA,5
2024-02-24,Ring,1998,https://boxd.it/26tw,0.5
2024-02-24,Tarzan,1999,https://boxd.it/18YO,5
2024-02-26,Minority Report,2002,https://boxd.it/2aWi,3
2024-02-28,The Lives of Others,2006,https://boxd.it/2a4A,5
2024-02-29,Grabbers,2012,https://boxd.it/2XL4,4
2024-03-01,Silence,2016,https://boxd.it/2cAo,1
2024-03-02,Anatomy of a Fall,2023,https://boxd.it/yuDE,5
2024-03-03,Mother,2009,https://boxd.it/1m9g,3
